Brot;a;;;;
Soße;g;;;;
Käse;g;;;;
Sahnesoße;g;;;;
scharfe Soße;g;;;;
Pizza;a;;;;
Pide;a;;;;
Chicken Nuggets;4, a, c, g, i;;;;
Tsatziki;g;;;;
Zigarrenbörek;g ;;;;
Weinblätter;a, g, m;;;;
Schinken;2, 5, i, j;;;;
Thunfisch;d;;;;
Krabben;b;;;;
Weichkäse;g;;;;
Salami;2, 5;;;;
Oliven;7;;;;
Ei;c ;;;;
Dressing;g;;;;
Tomatensoße;i;;;;
Peperoniwurst;3, 5;;;;
Hähnchenschinken;5, i, j;;;;
Knoblauchwurst;5, 6;;;;
Putenfleisch;6, a, f, j;;;;
Shrimps;b;;;;
Putenschnitzel;2, 5, a, c;;;;
Jägersoße;2, 6, a, g, i;;;;
Zigeunersoße;6, a, g, i;;;;
Rahmsoße;g;;;;